Altium Designer Pick and Place Locations
D:\WORK\Projects\SensWear\hardware-v1\SensWear-V1R2-Debug\Output\Manufacturing\Assembly\Generates pick and place files\Pick Place for SensWear-V1R2-Debug.csv

========================================================================================================================
File Design Information:

Date:       01/07/26
Time:       17:44
Revision:   38ca486f9c11d28f2237f2dba5ff28e7f0918d4d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C58","0.1 uF","BottomLayer","CAPC1005X05N","30.4828","13.3500","0","CAP CER 0.1UF 10V X5R 0402"
"C59","0.1 uF","BottomLayer","CAPC1005X05N","28.1578","16.2000","180","CAP CER 0.1UF 10V X5R 0402"
"C60","0.1 uF","BottomLayer","CAPC1005X05N","30.4578","17.6000","180","CAP CER 0.1UF 10V X5R 0402"
"C61","0.1 uF","BottomLayer","CAPC1005X05N","23.8828","18.9750","90","CAP CER 0.1UF 10V X5R 0402"
"C62","0.1 uF","BottomLayer","CAPC1005X05N","24.6078","14.9250","0","CAP CER 0.1UF 10V X5R 0402"
"C63","0.1 uF","BottomLayer","CAPC1005X05N","24.6078","11.4750","180","CAP CER 0.1UF 10V X5R 0402"
"C52","0.1 uF","BottomLayer","CAPC1005X05N","26.5078","18.9500","270","CAP CER 0.1UF 10V X5R 0402"
"C53","0.1 uF","BottomLayer","CAPC1005X05N","25.6328","18.9500","270","CAP CER 0.1UF 10V X5R 0402"
"C54","0.1 uF","BottomLayer","CAPC1005X05N","30.4578","16.7000","180","CAP CER 0.1UF 10V X5R 0402"
"C66","4.7 uF","TopLayer","CAPC1610X05N","30.9828","20.5500","270","CAP CER 4.7UF 10V X5R 0603"
"C67","4.7 uF","BottomLayer","CAPC1610X05N","30.0828","18.6750","180","CAP CER 4.7UF 10V X5R 0603"
"C68","4.7 uF","BottomLayer","CAPC1610X05N","29.3078","20.4750","90","CAP CER 4.7UF 10V X5R 0603"
"C69","15pF","BottomLayer","CAPC1005X05N","24.6078","12.3500","0","CAP CER 15 pF 25V C0G 0402"
"C70","15pF","BottomLayer","CAPC1005X05N","24.1328","13.6500","270","CAP CER 15 pF 25V C0G 0402"
"L51","3.3µH","TopLayer","AOTAB201610S3R3101T","28.9828","20.9000","0","General Purpose Inductor, 3.3uH, 20%, 1 Element, SMD, 0806"
"R56","27O","BottomLayer","RESC1005X04N","27.3828","18.9650","90","Res Thick Film 0402 27 Ohm 1% 0.1W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R58","27O","BottomLayer","RESC1005X04N","28.2578","18.9600","90","Res Thick Film 0402 27 Ohm 1% 0.1W ±100ppm/°C Molded SMD Punched Carrier T/R"
"R57","33R","BottomLayer","RESC1005X04N","30.4078","20.0750","90","RES SMD 33 OHM 1% 1/10W 0402"
"R59","1 k","BottomLayer","RESC1005X04N","24.7578","18.9850","270","RES SMD 1K OHM 1% 1/10W 0402"
"R62","1 k","BottomLayer","RESC1005X04N","25.0078","13.6500","90","RES SMD 1K OHM 1% 1/10W 0402"
"U53","RP2354A","TopLayer","QFN40P700X700X90_HS-61N","27.2828","15.2750","0",""
"X50","12MHz","BottomLayer","DFN165P250X80-4N","27.1327","13.7001","270","Parallel - Fundamental Quartz Crystal, 12MHz Nom"
"T52","CSD87502Q2","BottomLayer","FP-DQK0006B-MFG","31.5750","9.1830","90","Transistor MOSFET Array Dual N-CH 30V 5A 6-Pin WSON T/R"
"T51","CSD87502Q2","BottomLayer","FP-DQK0006B-MFG","23.6120","23.0000","90","Transistor MOSFET Array Dual N-CH 30V 5A 6-Pin WSON T/R"
"T50","CSD87502Q2","BottomLayer","FP-DQK0006B-MFG","25.3350","9.2000","90","Transistor MOSFET Array Dual N-CH 30V 5A 6-Pin WSON T/R"
"D53","LTST-C155KGJRKT","TopLayer","LTST-C155KGJRKT","32.3870","9.2580","180","LED GREEN/RED CLEAR CHIP SMD"
"D51","LTST-C155KGJRKT","TopLayer","LTST-C155KGJRKT","24.4000","23.0830","180","LED GREEN/RED CLEAR CHIP SMD"
"D52","LTST-C155KGJRKT","TopLayer","LTST-C155KGJRKT","26.1480","9.2500","180","LED GREEN/RED CLEAR CHIP SMD"
"UART_RP50","SM03B-SRSS-TB(LF)(SN)","TopLayer","JST-SM03B-SRSS-TB_V","19.2375","19.1000","270","Male Header, Pitch 1 mm, 1 x 3 Position, Height 2.9 mm, -25 to 85 degC, RoHS, Tape and Reel"
"SWD_RP50","SM03B-SRSS-TB(LF)(SN)","TopLayer","JST-SM03B-SRSS-TB_V","19.2375","13.0750","270","Male Header, Pitch 1 mm, 1 x 3 Position, Height 2.9 mm, -25 to 85 degC, RoHS, Tape and Reel"
"B52","B3U-1000P","TopLayer","B3U-1000P","38.1000","10.0250","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"B51","B3U-1000P","TopLayer","B3U-1000P","18.9580","8.1880","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"B50","B3U-1000P","TopLayer","B3U-1000P","38.1750","23.5500","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"D50","MBR140SFT1G","BottomLayer","SODFL360X110-2N","19.0750","10.5750","0","DIODE SCHOTTKY 40V 1A SOD123L"
"P50","504754-1100","BottomLayer","5047541100__3","18.3100","16.1000","90","Conn FFC/FPC Connector SKT 11 POS 0.3mm Solder RA SMD Easy-On™ T/R"
